ID,Title,Price_GEL,Price_USD,PricePerSqm_GEL,PricePerSqm_USD,Area_SqM,City,District,Subdistrict,Street,Description,MainImage,URL,Price_Per_SqM_USD
31880198,იყიდება 2 ოთახიანი ბინა ორთაჭალაში,316000.0,115000.0,4860.0,1770.0,65.1,თბილისი,ისანი-სამგორი,ორთაჭალა,გულიას ქ.,"ქალაქის ცენტრში, ორთაჭალაში იყიდება ახალი, უცხოვრებელი, ულამაზესი ბინა მაღალი ხარისხის რემონტი და ავეით. ცენტრალური გათბობა, კონდიციონერი, ჩაშენებული გაზქურა ასევე ღუმელი, სარეცხის მანქანა, მაცივარი, სმ. ტელევიზორი. საძინებლის აჰეჯი, სალონი. ბინაში რჩება ყველაფერი. ბინა და მდებარეობა ხელსაყრელია როგ",https://static.ss.ge/20250410/8_e750f1bc-b145-48d1-973e-bdc1ecb9ce7f_Thumb.jpg,https://home.ss.ge/real-estate/31880198,1766.51
31626560,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,289000.0,105000.0,4010.0,1460.0,72.0,თბილისი,ვაკე-საბურთალო,დიდი დიღომი,თეიმურაზის ქ.,ვარ მესაკუთრე ვყიდი 3 ოთახიან ბინას 5 ვარსკვლავიან კომპლექსში *გრადა პარკში* დიდი დიღმის ცენტრალურ პარკთან ცენტრალურ ქუჩაზე 2 დიდი საძინებლით 19კვ+20კვ დიდი ჰოლით რჩება ყველაფერს რასაც ხედავთ… ცენტრალური გათბობის სისტემა ფონდიტალის იტალიური ქვაბით და რადიატორებით. ჩაშენებული მდფის სამზარეულო.. ▫️რეკ,https://static.ss.ge/20250314/5_ceae524d-14cb-4ae5-b098-30093847cedf_Thumb.jpg,https://home.ss.ge/real-estate/31626560,1458.33
31923864,იყიდება 3 ოთახიანი ბინა საბურთალოზე,413000.0,150000.0,5890.0,2140.0,70.0,თბილისი,ვაკე-საბურთალო,საბურთალო,შარტავას ქ.,"იყიდება ცენტრალურ  საბურთალოზე ყველაზე პრესტიჟულ ადგილზე შარტავას გამზირი # 35 (შავ-თეთრი კორპუსი) , ""კარფურის"" თავზე, თბილისის  მერიის გვერდზე, ულამაზესი 3 ოთახიანი ბინა  უ ც ხ ო ვ რ ე ბ ე ლ ი,  მოწყობილი ყველანაირი ა ხ ა ლ ი  ძვირადღირებული  ავეჯით და ტექნიკით , აივნით და ულამაზესი ხედებით მტკვარზ",https://static.ss.ge/20250416/12_8ef5170c-b2f8-4f4f-a882-af16296b60c8_Thumb.jpg,https://home.ss.ge/real-estate/31923864,2142.86
31716270,იყიდება 2 ოთახიანი ბინა დიდ დიღომში,319000.0,116000.0,3710.0,1350.0,86.0,თბილისი,ვაკე-საბურთალო,დიდი დიღომი,გიორგი ბრწყინვალეს ქ.,"იყიდება 2-ოთახიანი ბინა პრემიუმ რემონტით და ულამაზესი ხედით

 86 მ²  მე-16- სართული  სრულად მოწყობილი  საცხოვრებლად მზადაა

სტილური და ნათელი ბინა, განთავსებული მე-16 სართულზე, საოცარი პანორამული ხედებით ქალაქსა და მთებზე. პრემიუმ კლასის რემონტი, იდეალური არჩევანია კომფორტისა და ხარისხის მოყვარულთათ",https://static.ss.ge/20250323/0_f4017772-9157-4481-9594-f6f94de49e02_Thumb.jpg,https://home.ss.ge/real-estate/31716270,1348.84
31913906,იყიდება 2 ოთახიანი ბინა ვაშლიჯვარში,190000.0,69000.0,3420.0,1240.0,55.5,თბილისი,ვაკე-საბურთალო,ვაშლიჯვარი,ბროწეულის ქ.,"იყიდება გარემონტებული და სრულად აღჭურვილი ბინა, მზად საცხოვრებლად და გასაქირავებლად. შესაძლებელია სამზარეულოს ჩამონტაჟება (მოგაწვდით ჩვენს ხელოსნებს, ფასი 1000 ლარი) 4 სართულიანი შენობის 2 სართულზე. არის ლიფტი, საერთო სარეცხი მანქანა, ვიდეო კონტროლი, დახურული საკუთარი გამწვანებული ეზო, დიდი ტერასა ბ",https://static.ss.ge/20250414/12_f825e3fc-9e35-41a2-9f32-99b7a4a8e827_Thumb.jpg,https://home.ss.ge/real-estate/31913906,1243.24
31574368,იყიდება 2 ოთახიანი ბინა ნავთლუღში,107000.0,38900.0,1910.0,695.0,56.0,თბილისი,ისანი-სამგორი,ნავთლუღი,გრ. ლორთქიფანიძის ქ.,"იყიდება მშენებარე ბინა სამგორში ყველაზე დაბალ ფასად. პროექტი მდებარეობს საუკეთესო ლოკაციაზე. მშენებლობა დასრულდება 24 თვეში, ბინა ბარდება თეთრი კარკასის მდგომარეობაში, ვარ მესაკუთრე, არ ვთანამშრომლობ სააგენტოებთან.",https://static.ss.ge/20250308/13_486a11ed-0ff5-469a-8323-66dd4fdd9856_Thumb.jpg,https://home.ss.ge/real-estate/31574368,694.64
31896077,იყიდება 1 ოთახიანი ბინა ვაშლიჯვარში,99000.0,36000.0,4300.0,1560.0,23.0,თბილისი,ვაკე-საბურთალო,ვაშლიჯვარი,ბროწეულის ქ.,"იყიდება გარემონტებული და სრულად აღჭურვილი ბინა, მზად საცხოვრებლად და გასაქირავებლად. შესაძლებელია სამზარეულოს ჩამონტაჟება (მოგაწვდით ჩვენს ხელოსნებს, ფასი 1000 ლარი) 4 სართულიანი შენობის 3 სართულზე. არის ლიფტი, საერთო სარეცხი მანქანა, ვიდეო კონტროლი, დახურული საკუთარი გამწვანებული ეზო, დიდი ტერასა ბ",https://static.ss.ge/20250411/0_35f15114-dcdf-4b23-b6c2-78a74241ece4_Thumb.jpg,https://home.ss.ge/real-estate/31896077,1565.22
31799469,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,289000.0,105000.0,3650.0,1330.0,79.1,თბილისი,ვაკე-საბურთალო,დიდი დიღომი,ფარნავაზ მეფის გამზ.,"ახალ აშენებულ კორპუსში იყიდება 3 ოთახიანი ბინა, 2 იზოლირებული საძინებელით. ყველა ოთახს აქვს პირველადი განათება და აივანზე გასასვლელი. მყუდრო, ნათელი ბინა, შიდა ეზოსა და ქალაქის ხედით. საცხოვრებელი კორპუსი დასრულებულია, მიმდინარეობს შიდა სამუშაოები. კორპუსი ბარდება 2025 წლის სექტემბერში, ბინა თეთრი კ",https://static.ss.ge/20250401/14_8ebe9dce-dbe4-41b4-bee7-1fbe88f50c0a_Thumb.jpg,https://home.ss.ge/real-estate/31799469,1327.43
31659256,იყიდება 2 ოთახიანი ბინა ლისის ტბაზე,220000.0,80000.0,4040.0,1470.0,54.5,თბილისი,ვაკე-საბურთალო,ლისის ტბა,ცაცხვების ქ.,"იყიდება 2 ოთახიანი ბინა ახალაშენებულ, დასრულებულ, პრემიუმ კლასის, მყუდრო, საცხოვრებელში, ლიფტით. ბინა მდრბარეობს ლისის წრიულიდან 300 მეტრში რაც საშუალებას იძლევა რამდენიმე წუთში მოხვდეთ როგორც ლისის ტბასთან ასევე ქალაქის ცენტრში. კორპუსი არის ექსპლუატაციაში მიღებული, ნაწილობრივ შესახლებული. ბინა არი",https://static.ss.ge/20250317/15_ea871f2c-452d-4c52-a5e4-f8d09c0c9734_Thumb.jpg,https://home.ss.ge/real-estate/31659256,1467.89
31659232,იყიდება 3 ოთახიანი ბინა ლისის ტბაზე,384000.0,140000.0,4260.0,1550.0,90.0,თბილისი,ვაკე-საბურთალო,ლისის ტბა,ცაცხვების ქ.,"იყიდება 3 ოთახიანი ბინა ახალაშენებულ, დასრულებულ, პრემიუმ კლასის, მყუდრო, 8 ბინიან საცხოვრებელში, ლიფტით. ბინა მდებარეობს ლისის წრიულიდან 300 მეტრში რაც შესაძლებლობას იძლევა რამდენიმე წუთში მოხვდეთ როგორც ლისის ტბასთან ასევე ქალაქის ცენტრში. ბინას საჩუქრად მოყვება 44კვ.მ ღია ტერასა საიდაც შეიძლება ძ",https://static.ss.ge/20250317/0_38805ba3-7e27-4a19-b2c3-3601c8c20d5f_Thumb.jpg,https://home.ss.ge/real-estate/31659232,1555.56
